Station_ID,temperature,latitude,longitude
8,18.9786,43.62316666666667,-79.45316666666666
9,19.0417,43.58533333333333,-79.39616666666667
12,18.0735,43.50333333333333,-79.35366666666667
17,18.4766,43.22533333333333,-79.27166666666666
18,18.1505,43.304,-79.27566666666667
19,18.1145,43.38283333333333,-79.28366666666666
27,19.2755,43.6895,-78.82866666666666
28,19.4662,43.77616666666667,-78.85616666666667
29,19.0126,43.8195,-78.87083333333334
33,19.2169,43.596333333333334,-78.81416666666667
34,14.2342,43.4615,-78.75883333333333
35,12.2637,43.361333333333334,-78.72816666666667
38,6.9192,43.383,-77.98866666666666
39,12.2106,43.48566666666667,-77.99916666666667
40,19.1667,43.590333333333334,-78.01116666666667
41,19.5944,43.717666666666666,-78.02633333333333
42,19.2158,43.839333333333336,-78.03633333333333
43,19.4794,43.95016666666667,-78.0505
48,19.7896,43.879666666666665,-77.43916666666667
49,19.5913,43.7705,-77.43833333333333
55,20.0607,43.444,-77.43883333333333
58,19.5249,43.328833333333336,-77.437
63,20.3471,43.731833333333334,-77.01633333333334
64,20.4489,43.525333333333336,-76.927
66,20.1629,43.33316666666666,-76.84066666666666
715,20.4146,43.63583333333333,-76.97083333333333
716,19.7529,43.59583333333333,-77.43883333333333
717,18.379,43.30016666666667,-77.44016666666667
